x,y
3.8333,8.75
3.9167,8.4167
4,8.0833
4.1667,7.75
4.25,7.4167
4.3333,7.0833
4.4167,6.75
4.5,6.5
4.6667,6.1667
4.25,6
3.9167,5.75
3.5833,5.5
3.25,5.25
2.8333,5.0833
2.5833,4.8333
2.6667,4.6667
2.9167,4.6667
3.1667,4.6667
3.5,4.6667
3.75,4.6667
4,4.6667
4.3333,4.6667
4.6667,4.6667
4.9167,4.6667
5.25,4.75
5.25,4.4167
5.4167,4.0833
5.5,3.75
5.6667,3.5
5.75,3.1667
5.8333,2.8333
5.9167,2.5833
6,2.3333
6.1667,2.5
6.1667,2.6667
6.25,2.8333
6.3333,3.0833
6.4167,3.25
6.4167,3.4167
6.5,3.5833
6.5833,3.75
6.6667,4
6.6667,4.1667
6.75,4.3333
6.8333,4.4167
6.8333,4.5833
7,4.6667
7.0833,4.6667
7.3333,4.6667
7.5,4.6667
7.75,4.6667
7.9167,4.6667
8.0833,4.6667
8.25,4.6667
8.5,4.6667
8.75,4.6667
9,4.6667
9.1667,4.6667
9.0833,4.8333
8.75,5
8.5,5.1667
8.25,5.3333
8,5.5
7.8333,5.75
7.6667,5.8333
7.4167,6
7.25,6.1667
7.3333,6.4167
7.4167,6.5
7.5833,6.8333
7.5833,7.0833
7.6667,7.3333
7.75,7.5
7.8333,7.8333
7.9167,8.0833
8.0833,8.25
8.1667,8.5833
8,8.3333
7.8333,8.1667
7.5,8.0833
7.1667,7.9167
7,7.6667
6.8333,7.5
6.5,7.25
6.25,7.0833
6,7
5.75,7.0833
5.5833,7.25
5.5,7.4167
5.1667,7.5833
5.0833,7.75
4.8333,7.9167
4.6667,8.0833
4.5,8.1667
4.3333,8.25
4.0833,8.4167
3.9167,8.5833
3.8333,8.75
3.6667,8.8333
